edition,team_id,team,player_id,player,match_number,match_id,stage,opponent,team_match_number,nominal_minutes,lineup_status,availability_status,played_minutes,suspension_unavailable_minutes,injury_unavailable_minutes,union_unavailable_minutes,opportunity_denominator_minutes,injury_source_url,injury_evidence_note,participation_source_url,participation_source_archive
2014,43843,Algeria,296827,Rafik HALLICHE,54,300186460,round_of_16,Germany,4,120,starter,played,96,0,0,0,120,,,https://api.fifa.com/api/v3/live/football/17/251164/255951/300186460?language=en,data/raw/2014/fifa/live/m054_300186460.json
2014,43843,Algeria,323339,Djamel MESBAH,15,300186479,group,Belgium,1,90,unused_substitute,bench,0,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186479?language=en,data/raw/2014/fifa/live/m015_300186479.json
2014,43843,Algeria,323339,Djamel MESBAH,32,300186495,group,Korea Republic,2,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186495?language=en,data/raw/2014/fifa/live/m032_300186495.json
2014,43843,Algeria,323339,Djamel MESBAH,48,300186506,group,Russia,3,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186506?language=en,data/raw/2014/fifa/live/m048_300186506.json
2014,43843,Algeria,323339,Djamel MESBAH,54,300186460,round_of_16,Germany,4,120,unused_substitute,bench,0,0,0,0,120,,,https://api.fifa.com/api/v3/live/football/17/251164/255951/300186460?language=en,data/raw/2014/fifa/live/m054_300186460.json
2014,43843,Algeria,354883,Liassine CADAMURO,15,300186479,group,Belgium,1,90,unused_substitute,bench,0,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186479?language=en,data/raw/2014/fifa/live/m015_300186479.json
2014,43843,Algeria,354883,Liassine CADAMURO,32,300186495,group,Korea Republic,2,90,unused_substitute,bench,0,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186495?language=en,data/raw/2014/fifa/live/m032_300186495.json
2014,43843,Algeria,354883,Liassine CADAMURO,48,300186506,group,Russia,3,90,unused_substitute,bench,0,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186506?language=en,data/raw/2014/fifa/live/m048_300186506.json
2014,43843,Algeria,354883,Liassine CADAMURO,54,300186460,round_of_16,Germany,4,120,unused_substitute,bench,0,0,0,0,120,,,https://api.fifa.com/api/v3/live/football/17/251164/255951/300186460?language=en,data/raw/2014/fifa/live/m054_300186460.json
2014,43843,Algeria,367261,Nabil GHILAS,15,300186479,group,Belgium,1,90,used_substitute,played,7,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186479?language=en,data/raw/2014/fifa/live/m015_300186479.json
2014,43843,Algeria,367261,Nabil GHILAS,32,300186495,group,Korea Republic,2,90,used_substitute,played,18,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186495?language=en,data/raw/2014/fifa/live/m032_300186495.json
2014,43843,Algeria,367261,Nabil GHILAS,48,300186506,group,Russia,3,90,used_substitute,played,14,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186506?language=en,data/raw/2014/fifa/live/m048_300186506.json
2014,43843,Algeria,367261,Nabil GHILAS,54,300186460,round_of_16,Germany,4,120,unused_substitute,bench,0,0,0,0,120,,,https://api.fifa.com/api/v3/live/football/17/251164/255951/300186460?language=en,data/raw/2014/fifa/live/m054_300186460.json
2014,43843,Algeria,379939,Nabil Bentaleb,15,300186479,group,Belgium,1,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186479?language=en,data/raw/2014/fifa/live/m015_300186479.json
2014,43843,Algeria,379939,Nabil Bentaleb,32,300186495,group,Korea Republic,2,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186495?language=en,data/raw/2014/fifa/live/m032_300186495.json
2014,43843,Algeria,379939,Nabil Bentaleb,48,300186506,group,Russia,3,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186506?language=en,data/raw/2014/fifa/live/m048_300186506.json
2014,43843,Algeria,379939,Nabil Bentaleb,54,300186460,round_of_16,Germany,4,120,unused_substitute,bench,0,0,0,0,120,,,https://api.fifa.com/api/v3/live/football/17/251164/255951/300186460?language=en,data/raw/2014/fifa/live/m054_300186460.json
2014,43849,Cameroon,200259,Dany NOUNKEU,2,300186492,group,Mexico,1,90,used_substitute,played,45,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186492?language=en,data/raw/2014/fifa/live/m002_300186492.json
2014,43849,Cameroon,200259,Dany NOUNKEU,18,300186453,group,Croatia,2,90,used_substitute,played,45,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186453?language=en,data/raw/2014/fifa/live/m018_300186453.json
2014,43849,Cameroon,200259,Dany NOUNKEU,33,300186472,group,Brazil,3,90,unused_substitute,bench,0,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186472?language=en,data/raw/2014/fifa/live/m033_300186472.json
2014,43849,Cameroon,200261,Alexandre SONG,2,300186492,group,Mexico,1,90,starter,played,78,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186492?language=en,data/raw/2014/fifa/live/m002_300186492.json
2014,43849,Cameroon,200261,Alexandre SONG,18,300186453,group,Croatia,2,90,starter,suspended,39,51,0,51,39,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186453?language=en,data/raw/2014/fifa/live/m018_300186453.json
2014,43849,Cameroon,200261,Alexandre SONG,33,300186472,group,Brazil,3,90,absent,suspended,0,90,0,90,0,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186472?language=en,data/raw/2014/fifa/live/m033_300186472.json
2014,43849,Cameroon,200935,Stephane MBIA,2,300186492,group,Mexico,1,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186492?language=en,data/raw/2014/fifa/live/m002_300186492.json
2014,43849,Cameroon,200935,Stephane MBIA,18,300186453,group,Croatia,2,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186453?language=en,data/raw/2014/fifa/live/m018_300186453.json
2014,43849,Cameroon,200935,Stephane MBIA,33,300186472,group,Brazil,3,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186472?language=en,data/raw/2014/fifa/live/m033_300186472.json
2014,43849,Cameroon,310048,Eyong ENOH,2,300186492,group,Mexico,1,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186492?language=en,data/raw/2014/fifa/live/m002_300186492.json
2014,43849,Cameroon,310048,Eyong ENOH,18,300186453,group,Croatia,2,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186453?language=en,data/raw/2014/fifa/live/m018_300186453.json
2014,43849,Cameroon,310048,Eyong ENOH,33,300186472,group,Brazil,3,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186472?language=en,data/raw/2014/fifa/live/m033_300186472.json
2014,43849,Cameroon,336791,Edgar SALLI,2,300186492,group,Mexico,1,90,unused_substitute,bench,0,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186492?language=en,data/raw/2014/fifa/live/m002_300186492.json
2014,43849,Cameroon,336791,Edgar SALLI,18,300186453,group,Croatia,2,90,used_substitute,played,16,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186453?language=en,data/raw/2014/fifa/live/m018_300186453.json
2014,43849,Cameroon,336791,Edgar SALLI,33,300186472,group,Brazil,3,90,used_substitute,played,33,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186472?language=en,data/raw/2014/fifa/live/m033_300186472.json
2014,43854,Côte d'Ivoire,176971,Didier ZOKORA,6,300186507,group,Japan,1,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186507?language=en,data/raw/2014/fifa/live/m006_300186507.json
2014,43854,Côte d'Ivoire,176971,Didier ZOKORA,21,300186468,group,Colombia,2,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186468?language=en,data/raw/2014/fifa/live/m021_300186468.json
2014,43854,Côte d'Ivoire,176971,Didier ZOKORA,38,300186455,group,Greece,3,90,absent,suspended,0,90,0,90,0,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186455?language=en,data/raw/2014/fifa/live/m038_300186455.json
2014,43854,Côte d'Ivoire,207946,Souleymane Bamba,6,300186507,group,Japan,1,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186507?language=en,data/raw/2014/fifa/live/m006_300186507.json
