edition,match_number,match_id,stage,team_id,team,opponent,team_match_number,fouls,source_url,source_archive
2014,24,300186500,group,43954,Italy,Costa Rica,2,10,https://data.huffingtonpost.com/2014/world-cup/matches/italy-vs-costa-rica-731790,data/raw/2014/huffpost/matches/731790.html
2014,25,300186514,group,43946,France,Switzerland,2,15,https://data.huffingtonpost.com/2014/world-cup/matches/switzerland-vs-france-731791,data/raw/2014/huffpost/matches/731791.html
2014,25,300186514,group,43971,Switzerland,France,2,12,https://data.huffingtonpost.com/2014/world-cup/matches/switzerland-vs-france-731791,data/raw/2014/huffpost/matches/731791.html
2014,26,300186463,group,43909,Honduras,Ecuador,2,15,https://data.huffingtonpost.com/2014/world-cup/matches/honduras-vs-ecuador-731792,data/raw/2014/huffpost/matches/731792.html
2014,26,300186463,group,43927,Ecuador,Honduras,2,16,https://data.huffingtonpost.com/2014/world-cup/matches/honduras-vs-ecuador-731792,data/raw/2014/huffpost/matches/731792.html
2014,27,300186466,group,43817,Iran,Argentina,2,14,https://data.huffingtonpost.com/2014/world-cup/matches/argentina-vs-iran-731793,data/raw/2014/huffpost/matches/731793.html
2014,27,300186466,group,43922,Argentina,Iran,2,7,https://data.huffingtonpost.com/2014/world-cup/matches/argentina-vs-iran-731793,data/raw/2014/huffpost/matches/731793.html
2014,28,300186511,group,43876,Nigeria,Bosnia-Herzegovina,2,9,https://data.huffingtonpost.com/2014/world-cup/matches/nigeria-vs-bosnia-herz-731794,data/raw/2014/huffpost/matches/731794.html
2014,28,300186511,group,44037,Bosnia-Herzegovina,Nigeria,2,7,https://data.huffingtonpost.com/2014/world-cup/matches/nigeria-vs-bosnia-herz-731794,data/raw/2014/huffpost/matches/731794.html
2014,29,300186493,group,43860,Ghana,Germany,2,17,https://data.huffingtonpost.com/2014/world-cup/matches/germany-vs-ghana-731795,data/raw/2014/huffpost/matches/731795.html
2014,29,300186493,group,43948,Germany,Ghana,2,11,https://data.huffingtonpost.com/2014/world-cup/matches/germany-vs-ghana-731795,data/raw/2014/huffpost/matches/731795.html
2014,30,300186483,group,43921,United States,Portugal,2,11,https://data.huffingtonpost.com/2014/world-cup/matches/usa-vs-portugal-731796,data/raw/2014/huffpost/matches/731796.html
2014,30,300186483,group,43963,Portugal,United States,2,14,https://data.huffingtonpost.com/2014/world-cup/matches/usa-vs-portugal-731796,data/raw/2014/huffpost/matches/731796.html
2014,31,300186481,group,43935,Belgium,Russia,2,14,https://data.huffingtonpost.com/2014/world-cup/matches/belgium-vs-russia-731797,data/raw/2014/huffpost/matches/731797.html
2014,31,300186481,group,43965,Russia,Belgium,2,9,https://data.huffingtonpost.com/2014/world-cup/matches/belgium-vs-russia-731797,data/raw/2014/huffpost/matches/731797.html
2014,32,300186495,group,43822,Korea Republic,Algeria,2,13,https://data.huffingtonpost.com/2014/world-cup/matches/south-korea-vs-algeria-731798,data/raw/2014/huffpost/matches/731798.html
2014,32,300186495,group,43843,Algeria,Korea Republic,2,16,https://data.huffingtonpost.com/2014/world-cup/matches/south-korea-vs-algeria-731798,data/raw/2014/huffpost/matches/731798.html
2014,33,300186472,group,43849,Cameroon,Brazil,3,14,https://data.huffingtonpost.com/2014/world-cup/matches/cameroon-vs-brazil-731799,data/raw/2014/huffpost/matches/731799.html
2014,33,300186472,group,43924,Brazil,Cameroon,3,19,https://data.huffingtonpost.com/2014/world-cup/matches/cameroon-vs-brazil-731799,data/raw/2014/huffpost/matches/731799.html
2014,34,300186452,group,43911,Mexico,Croatia,3,12,https://data.huffingtonpost.com/2014/world-cup/matches/croatia-vs-mexico-731800,data/raw/2014/huffpost/matches/731800.html
