edition,edition_status,ledger,team_id,team,player_id,player,rho,mu,lambda,omega,group_caution_min,group_dismissal_min,group_served_matches,group_served_min,knockout_in_match_min,knockout_accumulation_window_min,knockout_served_matches,knockout_served_min,exp_susp_grp_unweighted_min,exp_susp_unweighted_min,exp_susp_all_unweighted_min,exact_clock_q_min,exp_susp_prime_unweighted_min,exp_susp_grp_min,exp_susp_min,exp_susp_all_min,exp_susp_prime_min
2014,final,full,43901,Costa Rica,307541,Yeltsin TEJEDA,2,1.25,0.5,0.814583333,0,0,0,0,43,90,0,0,0,133,133,75,170.5,0,108.339583,108.339583,138.886458
2014,final,full,43901,Costa Rica,312987,Oscar DUARTE,2,1.25,0.5,1,0,0,0,0,138,0,1,112.5,0,250.5,250.5,24,262.5,0,250.5,250.5,262.5
2014,final,full,43901,Costa Rica,339447,Johnny ACOSTA,2,1.25,0.5,0.279166667,0,0,0,0,15,0,0,0,0,15,15,15,22.5,0,4.1875,4.1875,6.28125
2014,final,full,43909,Honduras,209827,Wilson PALACIOS,2,1.25,0.5,1,15,102.16,1,112.5,0,0,0,0,229.66,0,229.66,15,237.16,229.66,0,229.66,237.16
2014,final,full,43909,Honduras,213878,Victor BERNARDEZ,2,1.25,0.5,0.833333333,174,0,0,0,0,0,0,0,174,0,174,88.4,218.2,145,0,145,181.833333
2014,final,full,43909,Honduras,213953,Jerry PALACIOS,2,1.25,0.5,0.188888889,25,0,0,0,0,0,0,0,25,0,25,28.02,39.01,4.722222,0,4.722222,7.368556
2014,final,full,43909,Honduras,237071,Boniek GARCIA,2,1.25,0.5,0.751851852,218,0,0,0,0,0,0,0,218,0,218,41.08,238.54,163.903704,0,163.903704,179.346741
2014,final,full,43909,Honduras,270400,Luis GARRIDO,2,1.25,0.5,0.592592593,188,0,0,0,0,0,0,0,188,0,188,11.08,193.54,111.407407,0,111.407407,114.69037
2014,final,full,43909,Honduras,323623,Jerry BENGTSON,2,1.25,0.5,0.833333333,137.4,0,0,0,0,0,0,0,137.4,0,137.4,47.4,161.1,114.5,0,114.5,134.25
2014,final,full,43911,Mexico,178119,Rafael MARQUEZ,2,1.25,0.5,1,52,0,0,0,5.58,180,0,0,52,185.58,237.58,152.68,313.92,52,185.58,237.58,313.92
2014,final,full,43911,Mexico,238112,Hector MORENO,2,1.25,0.5,0.875,214,0,0,0,0,180,0,0,214,180,394,134.83,461.415,187.25,157.5,344.75,403.738125
2014,final,full,43911,Mexico,251352,Andres GUARDADO,2,1.25,0.5,0.919444444,0,0,0,0,3.58,90,0,0,0,93.58,93.58,3.58,95.37,0,86.041611,86.041611,87.687417
2014,final,full,43911,Mexico,289195,Paul AGUILAR,2,1.25,0.5,1,122,0,0,0,22,158,0,0,122,180,302,131.63,367.815,122,180,302,367.815
2014,final,full,43911,Mexico,379264,Jose VAZQUEZ,2,1.25,0.5,1,119,0,0,0,0,0,1,112.5,119,112.5,231.5,61.15,262.075,119,112.5,231.5,262.075
2014,final,full,43921,United States,175512,Kyle BECKERMAN,2,1.25,0.5,0.692307692,29,0,0,0,0,180,0,0,29,180,209,154.16,286.08,20.076923,124.615385,144.692308,198.055385
2014,final,full,43921,United States,183893,Jermaine JONES,2,1.25,0.5,1,106,0,0,0,0,180,0,0,106,180,286,142.61,357.305,106,180,286,357.305
2014,final,full,43921,United States,234405,Omar GONZALEZ,2,1.25,0.5,0.538461538,54,0,0,0,0,180,0,0,54,180,234,179.16,323.58,29.076923,96.923077,126,174.235384
2014,final,full,43921,United States,321971,Geoff Cameron,2,1.25,0.5,0.769230769,0,0,0,0,73,90,0,0,0,163,163,104.08,215.04,0,125.384615,125.384615,165.415385
2014,final,full,43922,Argentina,182372,Javier MASCHERANO,2,1.25,0.5,1,0,0,0,0,60.98,0,0,0,0,60.98,60.98,60.98,91.47,0,60.98,60.98,91.47
2014,final,full,43922,Argentina,200130,Ezequiel GARAY,2,1.25,0.5,1,0,0,0,0,2.08,90,0,0,0,92.08,92.08,2.08,93.12,0,92.08,92.08,93.12
2014,final,full,43922,Argentina,200133,Lucas BIGLIA,2,1.25,0.5,0.484722222,0,0,0,0,16,0,0,0,0,16,16,21.08,26.54,0,7.755556,7.755556,12.864528
2014,final,full,43922,Argentina,228528,Sergio AGUERO,2,1.25,0.5,0.433333333,0,0,0,0,59.98,0,0,0,0,59.98,59.98,59.98,89.97,0,25.991333,25.991333,38.987
2014,final,full,43922,Argentina,233703,Martin DEMICHELIS,2,1.25,0.5,0.458333333,0,0,0,0,73,0,0,0,0,73,73,73,109.5,0,33.458333,33.458333,50.1875
2014,final,full,43922,Argentina,266800,Angel DI MARIA,2,1.25,0.5,0.737762238,0,0,0,0,6.08,90,0,0,0,96.08,96.08,6.08,99.12,0,70.884196,70.884196,73.126993
2014,final,full,43922,Argentina,318688,Marcos ROJO,2,1.25,0.5,0.976190476,246,0,0,0,1,179,1,112.5,246,292.5,538.5,194.08,635.54,240.142857,285.535714,525.678571,620.408095
2014,final,full,43924,Brazil,179038,JULIO CESAR,2,1.25,0.5,1,0,0,0,0,13,0,0,0,0,13,13,18.05,22.025,0,13,13,22.025
2014,final,full,43924,Brazil,190962,DANI ALVES,2,1.25,0.5,0.590909091,0,0,0,0,15,90,0,0,0,105,105,15,112.5,0,62.045455,62.045455,66.477273
2014,final,full,43924,Brazil,208016,FERNANDINHO,2,1.25,0.5,0.448484848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,final,full,43924,Brazil,217172,JO,2,1.25,0.5,0.257575758,0,0,0,0,28,90,0,0,0,118,118,28,132,0,30.393939,30.393939,34
2014,final,full,43924,Brazil,289964,THIAGO SILVA,2,1.25,0.5,1,101,0,0,0,27,153,1,112.5,101,292.5,393.5,166.1,476.55,101,292.5,393.5,476.55
2014,final,full,43924,Brazil,298959,RAMIRES,2,1.25,0.5,0.378787879,136,0,0,0,0,180,0,0,136,180,316,169.05,400.525,51.515152,68.181818,119.69697,151.714015
2014,final,full,43924,Brazil,312868,OSCAR,2,1.25,0.5,0.966666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,final,full,43924,Brazil,314197,NEYMAR,2,1.25,0.5,0.951781971,244,0,0,0,0,180,0,0,244,180,424,188.93,518.465,232.234801,171.320755,403.555556,493.46564
2014,final,full,43924,Brazil,318172,HULK,2,1.25,0.5,0.596969697,0,0,0,0,36,90,0,0,0,126,126,66,159,0,75.218182,75.218182,94.918182
2014,final,full,43924,Brazil,367913,DANTE,2,1.25,0.5,0.136363636,0,0,0,0,24.98,0,0,0,0,24.98,24.98,24.98,37.47,0,3.406364,3.406364,5.109545
2014,final,full,43924,Brazil,367918,LUIZ GUSTAVO,2,1.25,0.5,0.921052632,183,0,0,0,31,149,1,112.5,183,292.5,475.5,127.93,539.465,168.552632,269.407895,437.960527,496.875658
2014,final,full,43925,Chile,201787,Mauricio PINILLA,2,1.25,0.5,0.120512821,0,0,0,0,19,90,0,0,0,109,109,19,118.5,0,13.135897,13.135897,14.280769
2014,final,full,43925,Chile,267543,Arturo VIDAL,2,1.25,0.5,0.594871795,155,0,0,0,0,180,0,0,155,180,335,191.02,430.51,92.205128,107.076923,199.282051,256.098256
2014,final,full,43925,Chile,318150,Charles ARANGUIZ,2,1.25,0.5,0.930769231,185,0,0,0,0,180,0,0,185,180,365,129.12,429.56,172.192308,167.538462,339.730769,399.821231
2014,final,full,43925,Chile,349582,Francisco SILVA,2,1.25,0.5,0.715384615,66,0,0,0,51,129,0,0,66,180,246,189.18,340.59,47.215385,128.769231,175.984615,243.652846
2014,final,full,43925,Chile,349592,Eugenio MENA,2,1.25,0.5,1,120,0,0,0,74,106,0,0,120,180,300,156.02,378.01,120,180,300,378.01
2014,final,full,43926,Colombia,200213,Pablo ARMERO,2,1.25,0.5,0.92,0,0,0,0,13,90,0,0,0,103,103,16.15,111.075,0,94.76,94.76,102.189
2014,final,full,43926,Colombia,200219,Fredy GUARIN,2,1.25,0.5,0.527777778,28,0,1,112.5,0,180,0,0,140.5,180,320.5,124.4,382.7,74.152778,95,169.152778,201.980556
2014,final,full,43926,Colombia,269058,James RODRIGUEZ,2,1.25,0.5,0.886666667,0,0,0,0,24,0,0,0,0,24,24,29.05,38.525,0,21.28,21.28,34.158833
2014,final,full,43926,Colombia,280487,Carlos SANCHEZ,2,1.25,0.5,0.8,245,0,0,0,0,180,0,0,245,180,425,162.02,506.01,196,144,340,404.808
2014,final,full,43926,Colombia,3408,Mario YEPES,2,1.25,0.5,0.8,0,0,0,0,22,0,0,0,0,22,22,27.05,35.525,0,17.6,17.6,28.42
2014,final,full,43927,Ecuador,202544,Antonio VALENCIA,2,1.25,0.5,1,83,90.56,0,0,0,0,0,0,173.56,0,173.56,38.4,192.76,173.56,0,173.56,192.76
2014,final,full,43927,Ecuador,290452,Jefferson MONTERO,2,1.25,0.5,0.844444444,101,0,0,0,0,0,0,0,101,0,101,15.4,108.7,85.288889,0,85.288889,91.791111
