edition,team_id,team,player_id,player,played_minutes,team_nominal_minutes,suspension_unavailable_minutes,injury_unavailable_minutes,union_unavailable_minutes,opportunity_denominator_minutes,omega
2014,43963,Portugal,214407,JOAO PEREIRA,240,270,0,0,0,270,0.888888889
2014,43963,Portugal,275931,PEPE,126,270,144,0,144,126,1
2014,43965,Russia,300237,Dmitri KOMBAROV,270,270,0,0,0,270,1
2014,43965,Russia,358049,Denis Glushakov,206,270,0,0,0,270,0.762962963
2014,43965,Russia,358891,Oleg Shatov,206,270,0,0,0,270,0.762962963
2014,43965,Russia,369983,Aleksey Kozlov,151,270,0,0,0,270,0.559259259
2014,43969,Spain,176644,Iker CASILLAS,180,270,0,0,0,270,0.666666667
2014,43969,Spain,207528,Xabi ALONSO,188,270,0,0,0,270,0.696296296
2014,43969,Spain,216814,Sergio RAMOS,270,270,0,0,0,270,1
2014,43971,Switzerland,216645,Johan DJOUROU,390,390,0,0,0,390,1
2014,43971,Switzerland,216650,Gelson FERNANDES,55,390,0,0,0,390,0.141025641
2014,43971,Switzerland,311558,Granit Xhaka,321,390,0,0,0,390,0.823076923
2014,43976,Australia,197411,Mark MILLIGAN,90,270,0,90,90,180,0.5
2014,43976,Australia,197514,Mile JEDINAK,270,270,0,0,0,270,1
2014,43976,Australia,213001,Tim CAHILL,158,270,90,0,90,180,0.877777778
2014,43976,Australia,229051,Matthew SPIRANOVIC,270,270,0,0,0,270,1
2014,44037,Bosnia-Herzegovina,216069,Emir SPAHIC,270,270,0,0,0,270,1
2014,44037,Bosnia-Herzegovina,233167,Haris Medunjanin,80,270,0,0,0,270,0.296296296
2014,44037,Bosnia-Herzegovina,358101,Muhamed BESIC,270,270,0,0,0,270,1
2018,1902465,Serbia,214388,Branislav IVANOVIC,180,270,0,0,0,270,0.666666667
2018,1902465,Serbia,294103,Aleksandar PRIJOVIC,0,270,0,0,0,270,0
2018,1902465,Serbia,310082,Nemanja MATIC,270,270,0,0,0,270,1
2018,1902465,Serbia,319554,Adem LJAJIC,170,270,0,0,0,270,0.62962963
2018,1902465,Serbia,365641,Luka MILIVOJEVIC,171,270,0,0,0,270,0.633333333
2018,1902465,Serbia,370456,Aleksandar MITROVIC,269,270,0,0,0,270,0.996296296
2018,1902465,Serbia,385545,Sergej MILINKOVIC-SAVIC,270,270,0,0,0,270,1
2018,43817,Iran,213170,Masoud SHOJAEI,68,270,0,0,0,270,0.251851852
2018,43817,Iran,288961,Ehsan HAJI SAFI,215,270,0,0,0,270,0.796296296
2018,43817,Iran,330659,Karim ANSARIFARD,178,270,0,0,0,270,0.659259259
2018,43817,Iran,346735,Omid EBRAHIMI,259,270,0,0,0,270,0.959259259
2018,43817,Iran,379886,Alireza JAHANBAKHSH,171,270,0,0,0,270,0.633333333
2018,43817,Iran,379887,Sardar AZMOUN,270,270,0,0,0,270,1
2018,43817,Iran,384795,Vahid AMIRI,266,270,0,0,0,270,0.985185185
2018,43819,Japan,198117,Eiji KAWASHIMA,360,360,0,0,0,360,1
2018,43819,Japan,268477,Tomoaki MAKINO,90,360,0,0,0,360,0.25
2018,43819,Japan,271255,Takashi INUI,292,360,0,0,0,360,0.811111111
2018,43819,Japan,289027,Makoto HASEBE,278,360,0,0,0,360,0.772222222
2018,43819,Japan,307719,Gaku SHIBASAKI,341,360,0,0,0,360,0.947222222
