edition,edition_status,match_number,stage,team_id,team,segment,foul_events,provider,feed_status,source_url
2018,final,6,group,43929,Peru,01_15_30,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,6,group,43929,Peru,02_30_half_time,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,6,group,43929,Peru,03_45_60,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,6,group,43929,Peru,04_60_75,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,6,group,43929,Peru,05_75_full_time,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,6,group,43929,Peru,06_extra_time_1,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,6,group,43929,Peru,07_extra_time_2,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,6,group,43941,Denmark,00_0_15,5,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,6,group,43941,Denmark,01_15_30,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,6,group,43941,Denmark,02_30_half_time,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,6,group,43941,Denmark,03_45_60,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,6,group,43941,Denmark,04_60_75,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,6,group,43941,Denmark,05_75_full_time,6,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,6,group,43941,Denmark,06_extra_time_1,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,6,group,43941,Denmark,07_extra_time_2,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,7,group,43922,Argentina,00_0_15,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,7,group,43922,Argentina,01_15_30,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,7,group,43922,Argentina,02_30_half_time,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,7,group,43922,Argentina,03_45_60,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,7,group,43922,Argentina,04_60_75,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,7,group,43922,Argentina,05_75_full_time,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,7,group,43922,Argentina,06_extra_time_1,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,7,group,43922,Argentina,07_extra_time_2,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,7,group,43951,Iceland,00_0_15,5,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,7,group,43951,Iceland,01_15_30,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,7,group,43951,Iceland,02_30_half_time,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,7,group,43951,Iceland,03_45_60,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,7,group,43951,Iceland,04_60_75,4,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,7,group,43951,Iceland,05_75_full_time,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,7,group,43951,Iceland,06_extra_time_1,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,7,group,43951,Iceland,07_extra_time_2,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,8,group,43938,Croatia,00_0_15,6,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,8,group,43938,Croatia,01_15_30,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,8,group,43938,Croatia,02_30_half_time,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,8,group,43938,Croatia,03_45_60,5,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,8,group,43938,Croatia,04_60_75,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,8,group,43938,Croatia,05_75_full_time,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,8,group,43938,Croatia,06_extra_time_1,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,8,group,43938,Croatia,07_extra_time_2,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,8,group,43876,Nigeria,00_0_15,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,8,group,43876,Nigeria,01_15_30,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,8,group,43876,Nigeria,02_30_half_time,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,8,group,43876,Nigeria,03_45_60,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,8,group,43876,Nigeria,04_60_75,4,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,8,group,43876,Nigeria,05_75_full_time,4,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,8,group,43876,Nigeria,06_extra_time_1,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,8,group,43876,Nigeria,07_extra_time_2,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,9,group,43924,Brazil,00_0_15,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,9,group,43924,Brazil,01_15_30,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,9,group,43924,Brazil,02_30_half_time,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,9,group,43924,Brazil,03_45_60,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,9,group,43924,Brazil,04_60_75,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,9,group,43924,Brazil,05_75_full_time,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
