edition,edition_status,match_number,stage,team_id,team,goals_for,goals_against,source_url
2014,final,46,group,43963,Portugal,2,1,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,46,group,43860,Ghana,1,2,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,47,group,43822,Korea Republic,0,1,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,47,group,43935,Belgium,1,0,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,48,group,43843,Algeria,1,1,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,48,group,43965,Russia,1,1,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,49,round_of_16,43924,Brazil,1,1,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,49,round_of_16,43925,Chile,1,1,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,50,round_of_16,43926,Colombia,2,0,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,50,round_of_16,43930,Uruguay,0,2,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,51,round_of_16,43960,Netherlands,2,1,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,51,round_of_16,43911,Mexico,1,2,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,52,round_of_16,43901,Costa Rica,1,1,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,52,round_of_16,43949,Greece,1,1,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,53,round_of_16,43946,France,2,0,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,53,round_of_16,43876,Nigeria,0,2,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,54,round_of_16,43948,Germany,2,1,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,54,round_of_16,43843,Algeria,1,2,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,55,round_of_16,43922,Argentina,1,0,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,55,round_of_16,43971,Switzerland,0,1,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,56,round_of_16,43935,Belgium,2,1,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,56,round_of_16,43921,United States,1,2,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,57,quarter_final,43924,Brazil,2,1,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,57,quarter_final,43926,Colombia,1,2,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,58,quarter_final,43946,France,0,1,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,58,quarter_final,43948,Germany,1,0,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,59,quarter_final,43960,Netherlands,0,0,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,59,quarter_final,43901,Costa Rica,0,0,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,60,quarter_final,43922,Argentina,1,0,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,60,quarter_final,43935,Belgium,0,1,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,61,semi_final,43924,Brazil,1,7,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,61,semi_final,43948,Germany,7,1,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,62,semi_final,43960,Netherlands,0,0,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,62,semi_final,43922,Argentina,0,0,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,63,third_place,43924,Brazil,0,3,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,63,third_place,43960,Netherlands,3,0,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,64,final,43948,Germany,1,0,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,64,final,43922,Argentina,0,1,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2018,final,1,group,43965,Russia,5,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,1,group,43835,Saudi Arabia,0,5,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,2,group,43855,Egypt,0,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,2,group,43930,Uruguay,1,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,3,group,43963,Portugal,3,3,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,3,group,43969,Spain,3,3,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,4,group,43872,Morocco,0,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,4,group,43817,Iran,1,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,5,group,43946,France,2,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,5,group,43976,Australia,1,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,6,group,43929,Peru,0,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,6,group,43941,Denmark,1,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,7,group,43922,Argentina,1,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,7,group,43951,Iceland,1,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,8,group,43938,Croatia,2,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,8,group,43876,Nigeria,0,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,9,group,43924,Brazil,1,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,9,group,43971,Switzerland,1,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,10,group,43901,Costa Rica,0,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,10,group,1902465,Serbia,1,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,11,group,43948,Germany,0,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,11,group,43911,Mexico,1,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,12,group,43970,Sweden,1,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,12,group,43822,Korea Republic,0,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,13,group,43935,Belgium,3,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,13,group,43914,Panama,0,3,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,14,group,43888,Tunisia,1,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,14,group,43942,England,2,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,15,group,43962,Poland,1,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,15,group,43879,Senegal,2,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,16,group,43926,Colombia,1,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,16,group,43819,Japan,2,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,17,group,43965,Russia,3,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,17,group,43855,Egypt,1,3,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,18,group,43930,Uruguay,1,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,18,group,43835,Saudi Arabia,0,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,19,group,43963,Portugal,1,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,19,group,43872,Morocco,0,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,20,group,43817,Iran,0,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,20,group,43969,Spain,1,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,21,group,43946,France,1,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,21,group,43929,Peru,0,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,22,group,43941,Denmark,1,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,22,group,43976,Australia,1,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,23,group,43922,Argentina,0,3,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,23,group,43938,Croatia,3,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,24,group,43876,Nigeria,2,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,24,group,43951,Iceland,0,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,25,group,43924,Brazil,2,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,25,group,43901,Costa Rica,0,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,26,group,1902465,Serbia,1,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,26,group,43971,Switzerland,2,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,27,group,43948,Germany,2,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,27,group,43970,Sweden,1,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,28,group,43822,Korea Republic,1,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,28,group,43911,Mexico,2,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,29,group,43935,Belgium,5,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,29,group,43888,Tunisia,2,5,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,30,group,43942,England,6,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,30,group,43914,Panama,1,6,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,31,group,43962,Poland,0,3,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,31,group,43926,Colombia,3,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,32,group,43819,Japan,2,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,32,group,43879,Senegal,2,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,33,group,43930,Uruguay,3,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,33,group,43965,Russia,0,3,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,34,group,43835,Saudi Arabia,2,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,34,group,43855,Egypt,1,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,35,group,43817,Iran,1,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,35,group,43963,Portugal,1,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,36,group,43969,Spain,2,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,36,group,43872,Morocco,2,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,37,group,43941,Denmark,0,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,37,group,43946,France,0,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,38,group,43976,Australia,0,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,38,group,43929,Peru,2,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,39,group,43876,Nigeria,1,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,39,group,43922,Argentina,2,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,40,group,43951,Iceland,1,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,40,group,43938,Croatia,2,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,41,group,1902465,Serbia,0,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,41,group,43924,Brazil,2,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,42,group,43971,Switzerland,2,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,42,group,43901,Costa Rica,2,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,43,group,43822,Korea Republic,2,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,43,group,43948,Germany,0,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,44,group,43911,Mexico,0,3,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,44,group,43970,Sweden,3,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,45,group,43942,England,0,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,45,group,43935,Belgium,1,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,46,group,43914,Panama,1,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
