edition,match_number,match_id,date_utc,stage,group_name,home_team_id,home_team,away_team_id,away_team,winner_team_id,winner_team,nominal_minutes,t_end_min,t_end_source,source_url,source_archive
2014,40,300186484,2014-06-24T16:00:00Z,group,Group D,43901,Costa Rica,43942,England,,,90,93.13,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m040_300186484.json
2014,41,300186482,2014-06-25T20:00:00Z,group,Group E,43909,Honduras,43971,Switzerland,43971,Switzerland,90,93.02,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m041_300186482.json
2014,42,300186515,2014-06-25T20:00:00Z,group,Group E,43927,Ecuador,43946,France,,,90,94.28,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m042_300186515.json
2014,43,300186458,2014-06-25T16:00:00Z,group,Group F,43876,Nigeria,43922,Argentina,43922,Argentina,90,94.3,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m043_300186458.json
2014,44,300186464,2014-06-25T16:00:00Z,group,Group F,44037,Bosnia-Herzegovina,43817,Iran,44037,Bosnia-Herzegovina,90,93.37,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m044_300186464.json
2014,45,300186469,2014-06-26T16:00:00Z,group,Group G,43921,United States,43948,Germany,43948,Germany,90,94.08,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m045_300186469.json
2014,46,300186476,2014-06-26T16:00:00Z,group,Group G,43963,Portugal,43860,Ghana,43963,Portugal,90,95.12,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m046_300186476.json
2014,47,300186480,2014-06-26T20:00:00Z,group,Group H,43822,Korea Republic,43935,Belgium,43935,Belgium,90,94.43,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m047_300186480.json
2014,48,300186506,2014-06-26T20:00:00Z,group,Group H,43843,Algeria,43965,Russia,,,90,94.12,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m048_300186506.json
2014,49,300186487,2014-06-28T16:00:00Z,round_of_16,,43924,Brazil,43925,Chile,43924,Brazil,120,120,fotmob_lower_bound,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m049_300186487.json
2014,50,300186491,2014-06-28T20:00:00Z,round_of_16,,43926,Colombia,43930,Uruguay,43926,Colombia,90,93.15,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m050_300186491.json
2014,51,300186508,2014-06-29T16:00:00Z,round_of_16,,43960,Netherlands,43911,Mexico,43960,Netherlands,90,96.58,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m051_300186508.json
2014,52,300186459,2014-06-29T20:00:00Z,round_of_16,,43901,Costa Rica,43949,Greece,43901,Costa Rica,90,122,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m052_300186459.json
2014,53,300186462,2014-06-30T16:00:00Z,round_of_16,,43946,France,43876,Nigeria,43946,France,90,95.03,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m053_300186462.json
2014,54,300186460,2014-06-30T20:00:00Z,round_of_16,,43948,Germany,43843,Algeria,43948,Germany,120,122.28,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m054_300186460.json
2014,55,300186503,2014-07-01T16:00:00Z,round_of_16,,43922,Argentina,43971,Switzerland,43922,Argentina,120,125.08,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m055_300186503.json
2014,56,300186497,2014-07-01T20:00:00Z,round_of_16,,43935,Belgium,43921,United States,43935,Belgium,120,121.08,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m056_300186497.json
2014,57,300186461,2014-07-04T20:00:00Z,quarter_final,,43924,Brazil,43926,Colombia,43924,Brazil,90,95.05,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m057_300186461.json
2014,58,300186485,2014-07-04T16:00:00Z,quarter_final,,43946,France,43948,Germany,43948,Germany,90,94.6,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m058_300186485.json
2014,59,300186488,2014-07-05T20:00:00Z,quarter_final,,43960,Netherlands,43901,Costa Rica,43960,Netherlands,120,121,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m059_300186488.json
2014,60,300186504,2014-07-05T16:00:00Z,quarter_final,,43922,Argentina,43935,Belgium,43922,Argentina,90,95.08,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m060_300186504.json
2014,61,300186474,2014-07-08T20:00:00Z,semi_final,,43924,Brazil,43948,Germany,43948,Germany,90,91.98,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m061_300186474.json
2014,62,300186490,2014-07-09T20:00:00Z,semi_final,,43960,Netherlands,43922,Argentina,43922,Argentina,120,121,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m062_300186490.json
2014,63,300186502,2014-07-12T20:00:00Z,third_place,,43924,Brazil,43960,Netherlands,43960,Netherlands,90,95.28,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m063_300186502.json
2014,64,300186501,2014-07-13T19:00:00Z,final,,43948,Germany,43922,Argentina,43948,Germany,120,123.98,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m064_300186501.json
2018,1,300331503,2018-06-14T15:00:00Z,group,Group A,43965,Russia,43835,Saudi Arabia,43965,Russia,90,95,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331503?language=en,data/raw/2018/fifa/timelines/m001_300331503.json
2018,2,300353632,2018-06-15T12:00:00Z,group,Group A,43855,Egypt,43930,Uruguay,43930,Uruguay,90,97,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300353632?language=en,data/raw/2018/fifa/timelines/m002_300353632.json
2018,3,300331524,2018-06-15T18:00:00Z,group,Group B,43963,Portugal,43969,Spain,,,90,96,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331524?language=en,data/raw/2018/fifa/timelines/m003_300331524.json
2018,4,300331526,2018-06-15T15:00:00Z,group,Group B,43872,Morocco,43817,Iran,43817,Iran,90,97,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331526?language=en,data/raw/2018/fifa/timelines/m004_300331526.json
2018,5,300331533,2018-06-16T10:00:00Z,group,Group C,43946,France,43976,Australia,43946,France,90,96,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331533?language=en,data/raw/2018/fifa/timelines/m005_300331533.json
2018,6,300331528,2018-06-16T16:00:00Z,group,Group C,43929,Peru,43941,Denmark,43941,Denmark,90,96,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331528?language=en,data/raw/2018/fifa/timelines/m006_300331528.json
2018,7,300331515,2018-06-16T13:00:00Z,group,Group D,43922,Argentina,43951,Iceland,,,90,96,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331515?language=en,data/raw/2018/fifa/timelines/m007_300331515.json
2018,8,300331523,2018-06-16T19:00:00Z,group,Group D,43938,Croatia,43876,Nigeria,43938,Croatia,90,95,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331523?language=en,data/raw/2018/fifa/timelines/m008_300331523.json
2018,9,300331525,2018-06-17T18:00:00Z,group,Group E,43924,Brazil,43971,Switzerland,,,90,97,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331525?language=en,data/raw/2018/fifa/timelines/m009_300331525.json
2018,10,300331529,2018-06-17T12:00:00Z,group,Group E,43901,Costa Rica,1902465,Serbia,1902465,Serbia,90,98,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331529?language=en,data/raw/2018/fifa/timelines/m010_300331529.json
2018,11,300331502,2018-06-17T15:00:00Z,group,Group F,43948,Germany,43911,Mexico,43911,Mexico,90,94,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331502?language=en,data/raw/2018/fifa/timelines/m011_300331502.json
2018,12,300331499,2018-06-18T12:00:00Z,group,Group F,43970,Sweden,43822,Korea Republic,43970,Sweden,90,95,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331499?language=en,data/raw/2018/fifa/timelines/m012_300331499.json
2018,13,300331539,2018-06-18T15:00:00Z,group,Group G,43935,Belgium,43914,Panama,43935,Belgium,90,95,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331539?language=en,data/raw/2018/fifa/timelines/m013_300331539.json
2018,14,300331554,2018-06-18T18:00:00Z,group,Group G,43888,Tunisia,43942,England,43942,England,90,95,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331554?language=en,data/raw/2018/fifa/timelines/m014_300331554.json
2018,15,300331545,2018-06-19T15:00:00Z,group,Group H,43962,Poland,43879,Senegal,43879,Senegal,90,95,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331545?language=en,data/raw/2018/fifa/timelines/m015_300331545.json
