edition,match_number,match_id,date_utc,stage,venue_side,team_id,team,opponent_team_id,opponent,primary_cohort,in_play_player_cards,fouls,rho,clock_variant,exp_match_min,exp_match_per_foul,opponent_exp_match_min,opponent_exp_match_per_foul,d_exp_match,d_exp_match_per_foul
2014,17,300186509,2014-06-17T19:00:00Z,group,away,43911,Mexico,43924,Brazil,yes,2,18,2,end_minus_one,65.1,3.616667,61.1,4.7,4,-1.083333
2014,17,300186509,2014-06-17T19:00:00Z,group,home,43924,Brazil,43911,Mexico,yes,2,13,2,source_end,63.1,4.853846,67.1,3.727778,-4,1.126068
2014,17,300186509,2014-06-17T19:00:00Z,group,away,43911,Mexico,43924,Brazil,yes,2,18,2,source_end,67.1,3.727778,63.1,4.853846,4,-1.126068
2014,18,300186453,2014-06-18T22:00:00Z,group,home,43849,Cameroon,43938,Croatia,no,1,11,2,end_minus_one,104.24,9.476364,3.12,0.346667,101.12,9.129697
2014,18,300186453,2014-06-18T22:00:00Z,group,away,43938,Croatia,43849,Cameroon,no,1,9,2,end_minus_one,3.12,0.346667,104.24,9.476364,-101.12,-9.129697
2014,18,300186453,2014-06-18T22:00:00Z,group,home,43849,Cameroon,43938,Croatia,no,1,11,2,source_end,106.24,9.658182,4.12,0.457778,102.12,9.200404
2014,18,300186453,2014-06-18T22:00:00Z,group,away,43938,Croatia,43849,Cameroon,no,1,9,2,source_end,4.12,0.457778,106.24,9.658182,-102.12,-9.200404
2014,19,300186498,2014-06-18T19:00:00Z,group,home,43969,Spain,43925,Chile,no,1,14,2,end_minus_one,55.02,3.93,105.04,7.002667,-50.02,-3.072667
2014,19,300186498,2014-06-18T19:00:00Z,group,away,43925,Chile,43969,Spain,yes,2,15,2,end_minus_one,105.04,7.002667,55.02,3.93,50.02,3.072667
2014,19,300186498,2014-06-18T19:00:00Z,group,home,43969,Spain,43925,Chile,no,1,14,2,source_end,56.02,4.001429,107.04,7.136,-51.02,-3.134571
2014,19,300186498,2014-06-18T19:00:00Z,group,away,43925,Chile,43969,Spain,yes,2,15,2,source_end,107.04,7.136,56.02,4.001429,51.02,3.134571
