edition,match_number,fifa_match_id,stage,date_utc,team,opponent,team_id,is_official,recipient,id_player,card_type,minute_label,t_min,period,basis,t_end_min,t_end_source,rho,W1,D1,N_horizon,W2,first_yellow_t_min,event_description
2018,22,300331518,First stage,2018-06-21T12:00:00Z,Denmark,Australia,43941,0,SISTO,395448,Y,84',84.0,5,90.0,94.0,timeline_period_label,1,6.0,10.0,3,276.0,,SISTO (Denmark) is booked by the referee.
2018,23,300331513,First stage,2018-06-21T18:00:00Z,Croatia,Argentina,43938,0,REBIĆ,369058,Y,39',39.0,3,90.0,95.0,timeline_period_label,1,51.0,56.0,3,321.0,,REBIĆ (Croatia) is booked by the referee.
2018,23,300331513,First stage,2018-06-21T18:00:00Z,Argentina,Croatia,43922,0,MERCADO,266796,Y,51',51.0,5,90.0,95.0,timeline_period_label,1,39.0,44.0,3,309.0,,MERCADO (Argentina) is booked by the referee.
2018,23,300331513,First stage,2018-06-21T18:00:00Z,Croatia,Argentina,43938,0,MANDŽUKIĆ,375518,Y,58',58.0,5,90.0,95.0,timeline_period_label,1,32.0,37.0,3,302.0,,MANDŽUKIĆ (Croatia) is booked by the referee.
2018,23,300331513,First stage,2018-06-21T18:00:00Z,Croatia,Argentina,43938,0,VRSALJKO,336485,Y,67',67.0,5,90.0,95.0,timeline_period_label,1,23.0,28.0,3,293.0,,VRSALJKO (Croatia) is booked by the referee.
2018,23,300331513,First stage,2018-06-21T18:00:00Z,Argentina,Croatia,43922,0,OTAMENDI,310116,Y,85',85.0,5,90.0,95.0,timeline_period_label,1,5.0,10.0,3,275.0,,OTAMENDI (Argentina) is booked by the referee.
2018,23,300331513,First stage,2018-06-21T18:00:00Z,Argentina,Croatia,43922,0,ACUÑA,401204,Y,87',87.0,5,90.0,95.0,timeline_period_label,1,3.0,8.0,3,273.0,,ACUÑA (Argentina) is booked by the referee.
2018,23,300331513,First stage,2018-06-21T18:00:00Z,Croatia,Argentina,43938,0,ĆORLUKA,297373,Y,90'+4',94.0,5,90.0,95.0,timeline_period_label,1,0.0,1.0,3,270.0,,ĆORLUKA (Croatia) is booked by the referee.
2018,24,300331497,First stage,2018-06-22T15:00:00Z,Nigeria,Iceland,43876,0,IDOWU,411700,Y,44',44.0,3,90.0,97.0,timeline_period_label,1,46.0,53.0,3,316.0,,IDOWU (Nigeria) is booked by the referee.
2018,25,300331540,First stage,2018-06-22T12:00:00Z,Brazil,Costa Rica,43924,0,NEYMAR JR,314197,Y,81',81.0,5,90.0,99.0,timeline_period_label,1,9.0,18.0,3,279.0,,NEYMAR JR (Brazil) is booked by the referee.
2018,25,300331540,First stage,2018-06-22T12:00:00Z,Brazil,Costa Rica,43924,0,P. COUTINHO,308366,Y,81',81.0,5,90.0,99.0,timeline_period_label,1,9.0,18.0,3,279.0,,P. COUTINHO (Brazil) is booked by the referee.
2018,25,300331540,First stage,2018-06-22T12:00:00Z,Costa Rica,Brazil,43901,0,J. ACOSTA,339447,Y,84',84.0,5,90.0,99.0,timeline_period_label,1,6.0,15.0,3,276.0,,J. ACOSTA (Costa Rica) is booked by the referee.
2018,26,300340183,First stage,2018-06-22T18:00:00Z,Serbia,Switzerland,1902465,0,SERGEJ,385545,Y,33',33.0,3,90.0,96.0,timeline_period_label,1,57.0,63.0,3,327.0,,SERGEJ (Serbia) is booked by the referee.
2018,26,300340183,First stage,2018-06-22T18:00:00Z,Serbia,Switzerland,1902465,0,MILIVOJEVIĆ,365641,Y,39',39.0,3,90.0,96.0,timeline_period_label,1,51.0,57.0,3,321.0,,MILIVOJEVIĆ (Serbia) is booked by the referee.
2018,26,300340183,First stage,2018-06-22T18:00:00Z,Serbia,Switzerland,1902465,0,MATIĆ,310082,Y,45'+2',47.0,3,90.0,96.0,timeline_period_label,1,43.0,49.0,3,313.0,,MATIĆ (Serbia) is booked by the referee.
2018,26,300340183,First stage,2018-06-22T18:00:00Z,Serbia,Switzerland,1902465,0,MITROVIĆ,370456,Y,87',87.0,5,90.0,96.0,timeline_period_label,1,3.0,9.0,3,273.0,,MITROVIĆ (Serbia) is booked by the referee.
2018,26,300340183,First stage,2018-06-22T18:00:00Z,Switzerland,Serbia,43971,0,SHAQIRI,321653,Y,90'+1',91.0,5,90.0,96.0,timeline_period_label,1,0.0,5.0,3,270.0,,SHAQIRI (Switzerland) is booked by the referee.
2018,27,300331501,First stage,2018-06-23T18:00:00Z,Sweden,Germany,43970,0,EKDAL,360340,Y,52',52.0,5,90.0,98.0,timeline_period_label,1,38.0,46.0,3,308.0,,EKDAL (Sweden) is booked by the referee.
2018,27,300331501,First stage,2018-06-23T18:00:00Z,Germany,Sweden,43948,0,BOATENG,299442,Y,71',71.0,5,90.0,98.0,timeline_period_label,1,19.0,27.0,3,289.0,,BOATENG (Germany) is booked by the referee.
2018,27,300331501,First stage,2018-06-23T18:00:00Z,Germany,Sweden,43948,0,BOATENG,299442,Y2,82',82.0,5,90.0,98.0,timeline_period_label,2,8.0,32.0,3,,71.0,BOATENG (Germany) is booked for the second time and receives a red card!
2018,27,300331501,First stage,2018-06-23T18:00:00Z,Sweden,Germany,43970,0,LARSSON,214675,Y,90'+7',97.0,5,90.0,98.0,timeline_period_label,1,0.0,1.0,3,270.0,,LARSSON (Sweden) is booked by the referee.
2018,28,300331549,First stage,2018-06-23T15:00:00Z,Korea Republic,Mexico,43822,0,Y G KIM,375754,Y,58',58.0,5,90.0,96.0,timeline_period_label,1,32.0,38.0,3,302.0,,Y G KIM (Korea Republic) is booked by the referee.
2018,28,300331549,First stage,2018-06-23T15:00:00Z,Korea Republic,Mexico,43822,0,Y LEE,363578,Y,63',63.0,5,90.0,96.0,timeline_period_label,1,27.0,33.0,3,297.0,,Y LEE (Korea Republic) is booked by the referee.
2018,28,300331549,First stage,2018-06-23T15:00:00Z,Korea Republic,Mexico,43822,0,S W LEE,390081,Y,72',72.0,5,90.0,96.0,timeline_period_label,1,18.0,24.0,3,288.0,,S W LEE (Korea Republic) is booked by the referee.
2018,28,300331549,First stage,2018-06-23T15:00:00Z,Korea Republic,Mexico,43822,0,W Y JUNG,356534,Y,80',80.0,5,90.0,96.0,timeline_period_label,1,10.0,16.0,3,280.0,,W Y JUNG (Korea Republic) is booked by the referee.
2018,29,300331547,First stage,2018-06-23T12:00:00Z,Tunisia,Belgium,43888,0,SASSI,370575,Y,14',14.0,3,90.0,94.0,timeline_period_label,1,76.0,80.0,3,346.0,,SASSI (Tunisia) is booked by the referee.
2018,30,300331546,First stage,2018-06-24T12:00:00Z,Panama,England,43914,0,COOPER,267700,Y,10',10.0,3,90.0,95.0,timeline_period_label,1,80.0,85.0,3,350.0,,COOPER (Panama) is booked by the referee.
2018,30,300331546,First stage,2018-06-24T12:00:00Z,England,Panama,43942,0,LOFTUS-CHEEK,411303,Y,23',23.0,3,90.0,95.0,timeline_period_label,1,67.0,72.0,3,337.0,,LOFTUS-CHEEK (England) is booked by the referee.
2018,30,300331546,First stage,2018-06-24T12:00:00Z,Panama,England,43914,0,ESCOBAR,385030,Y,45',45.0,3,90.0,95.0,timeline_period_label,1,45.0,50.0,3,315.0,,ESCOBAR (Panama) is booked by the referee.
2018,30,300331546,First stage,2018-06-24T12:00:00Z,Panama,England,43914,0,MURILLO,385031,Y,72',72.0,5,90.0,95.0,timeline_period_label,1,18.0,23.0,3,288.0,,MURILLO (Panama) is booked by the referee.
2018,31,300331508,First stage,2018-06-24T18:00:00Z,Poland,Colombia,43962,0,BEDNAREK,406995,Y,61',61.0,5,90.0,96.0,timeline_period_label,1,29.0,35.0,3,299.0,,BEDNAREK (Poland) is booked by the referee.
2018,31,300331508,First stage,2018-06-24T18:00:00Z,Poland,Colombia,43962,0,GÓRALSKI,402079,Y,85',85.0,5,90.0,96.0,timeline_period_label,1,5.0,11.0,3,275.0,,GÓRALSKI (Poland) is booked by the referee.
2018,32,300331505,First stage,2018-06-24T15:00:00Z,Senegal,Japan,43879,0,NIANG,336000,Y,59',59.0,5,90.0,95.0,timeline_period_label,1,31.0,36.0,3,301.0,,NIANG (Senegal) is booked by the referee.
2018,32,300331505,First stage,2018-06-24T15:00:00Z,Japan,Senegal,43819,0,INUI,271255,Y,68',68.0,5,90.0,95.0,timeline_period_label,1,22.0,27.0,3,292.0,,INUI (Japan) is booked by the referee.
2018,32,300331505,First stage,2018-06-24T15:00:00Z,Senegal,Japan,43879,0,SABALY,368848,Y,90',90.0,5,90.0,95.0,timeline_period_label,1,0.0,5.0,3,270.0,,SABALY (Senegal) is booked by the referee.
2018,32,300331505,First stage,2018-06-24T15:00:00Z,Senegal,Japan,43879,0,CH. NDOYE,395925,Y,90'+1',91.0,5,90.0,95.0,timeline_period_label,1,0.0,4.0,3,270.0,,CH. NDOYE (Senegal) is booked by the referee.
2018,32,300331505,First stage,2018-06-24T15:00:00Z,Japan,Senegal,43819,0,HASEBE,289027,Y,90'+4',94.0,5,90.0,95.0,timeline_period_label,1,0.0,1.0,3,270.0,,HASEBE (Japan) is booked by the referee.
