edition,match_number,team,opponent,cards,sum_W1,sum_D1,sum_D1_endm1,d1_complete
2018,57,France,Uruguay,2,78.0,88.0,86.0,1
2018,57,Uruguay,France,2,73.0,83.0,81.0,1
2018,58,Belgium,Brazil,2,61.0,73.0,71.0,1
2018,58,Brazil,Belgium,2,5.0,17.0,15.0,1
2018,59,Croatia,Russia,4,132.0,200.0,196.0,1
2018,59,Russia,Croatia,1,11.0,13.0,12.0,1
2018,60,England,Sweden,1,3.0,9.0,8.0,1
2018,60,Sweden,England,2,3.0,11.0,9.0,1
2018,61,Belgium,France,3,46.0,63.0,60.0,1
2018,61,France,Belgium,2,3.0,14.0,12.0,1
2018,62,Croatia,England,2,66.0,106.0,104.0,1
2018,62,England,Croatia,1,36.0,71.0,70.0,1
2018,63,Belgium,England,1,0.0,1.0,0.0,1
2018,63,England,Belgium,2,50.0,58.0,56.0,1
2018,64,Croatia,France,1,0.0,3.0,2.0,1
2018,64,France,Croatia,2,112.0,124.0,122.0,1
